,link,brand,product,price,Ram (Sistem Belleği),ssd_capacity,graphics_card,processor_type,operating_system,screen_size,screen_resolution,Kullanım Amacı,Cihaz Ağırlığı,Ekran Yenileme Hızı,Ekran Kartı Tipi,graphics_memory,İşlemci Modeli,processor_generation,İşlemci Çekirdek Sayısı,Hard Disk Kapasitesi,touchscreen,Panel Tipi,Ram (Sistem Belleği) Tipi,Arttırılabilir Azami Bellek,color,warranty_type,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Bağlantılar,keyboard,Ekran Kartı Bellek Tipi,Çözünürlük Standartı,warranty_period,Suya/Toza Dayanıklılık,Hızlı Şarj,fingerprint_reader,Şarjlı Kullanım Süresi,Optik Sürücü Tipi,country_of_origin,Kapasite,İşlemci Frekansı,Power Supply,hdmi,Beden,Tamir Edilebilirlik,CE Uygunluk Sembolu,İthalatçı/ Yetkili Temsilci/ İfa Hizmet Sağlayıcı,Üretici Bilgisi,Ekran Kartı Gücü,Piksel Yoğunluğu,ssd,os,processor,gpu,screensize,resolution,gpumemory,cpugen,warranty,warrantyperiod,origin,fingerprint,Paket Görseli (arka),Sıvı Soğutma,Soket Tipi
761,https://www.trendyol.com/asus/tuf-gaming-f16-fx607vu-rl143-intel-i5-210h-16gb-512gb-6gb-rtx4050-16-0-fhd-144hz-freedos-p-906254183,"ASUS TUF GAMING F16FX607VU-RL143 INTEL I5-210H 16GB 512GB 6GB RTX4050 16.0"" FHD+ 144Hz FREEDOS",,40.699 TL,16 GB,,,,,,,Oyun,2 - 4 kg,144 Hz,Harici,,210H,,8,HDD Yok,Yok,IPS,DDR5,,Siyah,,2,,HDMI,Q Türkçe (Aydınlatmalı),GDDR6,FHD+,,,,,,,,,,,,,,,,,140W,,512 GB,Free Dos (İşletim Sistemi Yok),Intel Core i5,Nvidia GeForce RTX 4050,16 inç,1920 x 1200,6 GB,Belirtilmemiş,Asus Türkiye Garantili,2 Yıl,CN,,,,
762,https://www.trendyol.com/asus/tuf-gaming-a15-fa507nu-lp157w-amd-ryzen5-7535hs-nvidia-geforce-rtx-4050-8gb-ram-512gb-ssd-w11-15-6-p-825255445,"ASUS Tuf Gaming A15Fa507nu-lp157w Amd Ryzen5-7535hs Nvidia Geforce Rtx 4050 8gb Ram 512gb Ssd W11 15.6""",Tuf Gaming A15,38.799 TL,8 GB,,,,,,,Oyun,2 - 4 kg,Belirtilmemiş,Dahili,,7735HS,,2,HDD Yok,Yok,IPS,Belirtilmemiş,,Renkli,,3.3,,Bluetooth,Q Türkçe,Belirtilmemiş,Full HD (FHD),,,,,4-6 Saat,,,,,,,,,,,,,,512 GB,Windows,AMD Ryzen 7,Nvidia GeForce RTX 4050,"15,6 inç",1920 x 1080,4 GB ve altı,11. Nesil,Asus Türkiye Garantili,2 Yıl,,,,,
763,https://www.trendyol.com/zeiron/ncx9-i5-12400f-16gb-512gb-nvme-m-2-ssd-gtx1660-super-23-8-curved-oyuncu-masaustu-bilgisayar-p-824366823,"Zeiron Ncx9 i5 12400F 16GB512GB NVMe M.2 SSD GTX1660 Super 23.8"" Curved Oyuncu Masaüstü Bilgisayar",Ncx9 i5 12400F 16GB,21.313 TL,16 GB,,,,,,,,4 kg ve üzeri,75 Hz,Harici,,,,6,HDD Yok,,VA,DDR4,64 GB,,,2.5,,HDMI,RGB,GDDR6,Full HD (FHD),,,,,,Yok,,512 GB,2.50 GHz - 3.00 GHz,500 W ve üstü,Var,,,,,,,,512 GB,Free Dos (İşletim Sistemi Yok),Intel Core i5,Nvidia GeForce GTX 1660 SUPER,"24"" / 61 Ekran",1920 x 1080,6 GB,,Zeiron Türkiye Garantili,2 Yıl,,,,,
764,https://www.trendyol.com/lenovo/thinkpad-l15-gen2-20x4st53ea07-i7-1165g7-16-gb-ram-256-gb-ssd-freedos-15-6-notebook-p-924808049,"LENOVO Thinkpad L15 Gen220x4st53ea07 I7-1165g7 16 Gb Ram 256 Gb Ssd Freedos 15.6"" Notebook",,24.999 TL,32 GB,,,,,,,Ofis - İş,2 kg ve altı,300 Hz,Dahili,,1165G7,,4,HDD Yok,Belirtilmemiş,,Belirtilmemiş,16 GB,Siyah,,,,USB - Bluetooth - HDMI,Belirtilmemiş,Belirtilmemiş,Full HD (FHD),,,,,,,,,,,,,,,,,,,512 GB,Windows,Intel Core i7,Intel UHD Graphics,"15,6 inç",1920 x 1080,Paylaşımlı,11. Nesil,Belirtilmemiş,1 Yıl,TR,,,,
765,https://www.trendyol.com/apple/13-macbook-air-apple-m4-chip-with-10-core-cpu-and-8-core-gpu-16gb-256gb-ssd-midnight-p-904728371,"Apple 13"" MacBook Air: AppleM4 chip with 10-core CPU and 8-core GPU, 16GB, 256GB SSD - Midnight",,48.999 TL,16 GB,,,,,,,Ofis - İş,2 kg ve altı,60 Hz,Dahili,,Apple M4,,10,HDD Yok,Yok,,Birleşik Bellek,,Gri,,,,USB-C,Q Türkçe (Aydınlatmalı),Dahili,Ultra HD 4K (UHD),,,,,,Yok,,,,,,,,,,,,,256 GB,Mac Os,Apple M4,Dahili Ekran Kartı,"13,6 inç",2560 x 1664,Paylaşımlı,4. Nesil,Apple Türkiye Garantili,2 Yıl,CN,,,,
766,https://www.trendyol.com/asus/m6500qf-hn017-vivobook-pro-15-amd-ryzen-5-5600h-16gb-512gb-4gb-rtx2050-freedos-15-6-notebook-p-786114070,"ASUS M6500QF-HN017 VivobookPro 15 Amd Ryzen 5 5600H 16GB 512GB 4GB RTX2050 FreeDOS 15.6"" Notebook",M6500QF-HN017 Vivobook,30.999 TL,8 GB,,,,,,,Ev - Okul,2 - 4 kg,60 Hz,Harici,,5600H,,6,256 GB,Yok,,DDR4,16 GB,Lacivert,,3.3,4.2,Bluetooth,Q Türkçe (Aydınlatmasız),GDDR6,Ultra HD 4K (UHD),,Yok,Yok,,,Yok,,,,,,,,,,,,,500 GB,Free Dos (İşletim Sistemi Yok),AMD Ryzen 5,AMD Radeon R5 M430,14 inç,2256 x 1504,4 GB ve altı,Belirtilmemiş,Resmi Distribütör Garantili,2 Yıl,CN,Yok,,,
767,https://www.trendyol.com/zeiron/damage-x20-ryzen-7-5700x-32gb-1tb-m-2-nvme-ssd-rtx3050-27-240hz-oyuncu-masaustu-bilgisayar-p-859921678,"Zeiron Damage X20 Ryzen 75700X 32GB 1TB M.2 Nvme SSD Rtx3050 27"" 240Hz Oyuncu Masaüstü Bilgisayar",Damage X20 Ryzen 7,,32 GB,,,,,,,,4 kg ve üzeri,240 Hz,Harici,,,,8,HDD Yok,,VA,DDR4,64 GB,,,3.4,,Display Port,Yok,GDDR6,Full HD (FHD),,,,,,Yok,,1 TB,3.00 GHz üstü,500 W ve üstü,Var,,,,,,,,1 TB,Free Dos (İşletim Sistemi Yok),AMD Ryzen 7,Nvidia GeForce RTX 3050,25 + inç,1920 x 1080,8 GB,,Zeiron Türkiye Garantili,2 Yıl,,,,,
768,https://www.trendyol.com/gigabyte/aorus-16x-9sg-i7-13650hx-16gb-ddr5-rtx4070-gddr6-8gb-1tb-ssd-16-wqxga-165hz-fdos-notebook-p-887093872,"Gigabyte AORUS 16X 9SGi7-13650HX 16GB DDR5 RTX4070 GDDR6 8GB 1TB SSD 16"" WQXGA 165Hz FDOS Notebook",,"68.046,43 TL",16 GB,,,,,,,Oyun,2 - 4 kg,165 Hz,Harici,,13650HX,,12+,HDD Yok,Yok,IPS,DDR5,128 GB,Siyah,,2.6,,USB - Bluetooth - HDMI,Q Türkçe,GDDR6X,WQXGA,,,,,4-6 Saat,,,,,,,,,,,,140W,,1 TB,Free Dos (İşletim Sistemi Yok),Intel Core i7,Nvidia GeForce RTX 4070,16 inç,2560 x 1600,8 GB,13. Nesil,Resmi Distribütör Garantili,2 Yıl,,,,,
769,https://www.trendyol.com/acer/nitro-v-15-intel-core-i5-13420h-32gb-ddr5-ram-1tb-m-2-ssd-rtx-4050-6gb-freedos-15-6-fhd-ips-p-863341132,"ACER  Nitro V 15 Intel Corei5 13420H 32GB DDR5 RAM 1TB M.2 SSD RTX 4050-6GB FreeDos 15.6"" FHD IPS",Nitro V 15 Intel Core,37.999 TL,32 GB,,,,,,,Oyun,2 - 4 kg,144 Hz,Harici,,13420H,,8,HDD Yok,Yok,IPS,DDR5,8 GB,siyah,,2.1,4.6,HDMI,Q Türkçe (Aydınlatmalı),GDDR6,Full HD (FHD),,,,,3 Saat ve Altı,,,,,,,,,,,,115W,,1 TB,Free Dos (İşletim Sistemi Yok),Intel Core i5,Nvidia GeForce RTX 4050,"15,6 inç",1920 x 1080,6 GB,13. Nesil,Resmi Distribütör Garantili,2 Yıl,TR,,,,
770,https://www.trendyol.com/lenovo/ideapad-1-ryzen-7-5700u-16gb-ram-512gb-ssd-15-6-w11-laptop-gri-82r400rttx-p-900335656,"LENOVO IdeaPad 1/Ryzen 75700U/16GB RAM/512GB SSD/15.6""/W11/Laptop Gri 82R400RTTX",,24.000 TL,16 GB,,,,,,,Ev - Okul,2 - 4 kg,Belirtilmemiş,Dahili,,5700U,,8,HDD Yok,Yok,TN,DDR4,16 GB,Gri,,3.2,1.8,Bluetooth - USB,Q Türkçe (Aydınlatmalı),Dahili,Full HD (FHD),,,,,,Yok,,,,,,,,,,,,,512 GB,Windows,AMD Ryzen 7,Dahili Ekran Kartı,"15,6 inç",1920 x 1080,Paylaşımlı,Belirtilmemiş,Resmi Distribütör Garantili,2 Yıl,CN,,,,
