,link,brand,product,price,warranty_type,internal_storage,ram_capacity,screen_size,battery_power_mah,mobile_connection_speed,front_camera_resolution,camera_resolution,front_camera_count,screen_resolution,screen_technology,front_camera_resolution_range,display_technology,main_camera_flash,front_camera_flash,screen_type,rear_camera_count,screen_size_range,operating_system,dual_sim,wireless_charging,face_recognition,touchscreen,warranty_period,charging_port,main_camera_resolution_range,nfc,screen_refresh_rate,headphone_jack,charging_speed,expandable_storage,battery_capacity_range,fingerprint_reader,water_dust_resistance,color,artificial_intelligence,video_recording_resolution,country_of_origin,phone_model,cosmetic_condition,radio,cpu_range,video_call,manufacturer_info,repairability,ce_compliance,importer_representative
38,https://www.trendyol.com/oppo/a60-8-gb-ram-256-gb-mavi-cep-telefonu-oppo-turkiye-garantili-p-849749246,Oppo A60 8 GB RAM 256 GB MaviCep Telefonu (Oppo Türkiye Garantili),A60 8 GB RAM 256 GB Mavi,9.999 TL,Oppo Türkiye Garantili,256 GB,8 GB,"6,67 inç",5000 ve üstü,4.5G,8 MP ve üstü,50 MP,1,HD+,HD+,5 - 10 MP,LCD,Var,Yok,IPS LCD,2,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,40 - 60 MP,Var,90 Hz,3.5 mm,40-60 W,Var,5000-6000 mAh,Var,Yok,Mavi,Yok,1080p (Full HD),TR,,,,,,,,,
39,https://www.trendyol.com/apple/yenilenmis-iphone-7-128-gb-altin-128-gb-altin-b-grade-p-689224336,Apple Yenilenmiş iPhone 7 128GB Altın 128 GB Altın B Grade,Yenilenmiş iPhone 7 128,3.349 TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,https://www.trendyol.com/xiaomi/redmi-note-14-8gb-ram-256gb-rom-siyah-p-891692672,"Xiaomi Redmi Note 14 8GB RAM256GB ROM, Siyah",Redmi Note 14 8GB RAM,12.299 TL,Xiaomi Türkiye Garantili,256 GB,8 GB,"6,67 inç",5000 ve üstü,4G,20 MP,,1,HD,HD,20 - 40 MP,AMOLED,Var,Var,AMOLED,3,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,100 -120 MP,Var,120 Hz,3.5 mm,20-40 W,Var,5000-6000 mAh,Var,Var,Siyah,,1080p (Full HD),TR,,,,,,,,,
41,https://www.trendyol.com/xiaomi/15-ultra-512-gb-siyah-xiaomi-turkiye-garantili-p-903855197,"Xiaomi 15 Ultra 512 GB, Siyah(Xiaomi Türkiye Garantili)",,79.999 TL,Xiaomi Türkiye Garantili,512 GB,16 GB,6 - 8 inç,5000 ve üstü,5G,32 MP,50 MP,1,QHD,QLED,20 - 40 MP,AMOLED,Var,Var,AMOLED,3,6.5'' - 7'',Android,,Var,Var,Var,2 Yıl,USB Type-C,40 - 60 MP,Var,90 Hz,USB Type-C,80-100 W,,5000-6000 mAh,Var,,Siyah,,1080p (Full HD),CN,,,,,,,,,
42,https://www.trendyol.com/samsung/galaxy-s25-ultra-512-gb-titanyum-siyah-samsung-turkiye-garantili-p-889950721,Samsung Galaxy S25 Ultra 512GB Titanyum Siyah (Samsung Türkiye Garantili),Galaxy S25 Ultra 512,77.249 TL,Samsung TR Garantili,512 GB,12 GB,,4000 - 5000,5G,12 MP,20 MP ve üstü,1,QHD+,Dinamik AMOLED,10 - 15 MP,AMOLED,Var,Var,AMOLED,3,6.5'' - 7'',Android,Var,,Var,Var,2 Yıl,USB Type-C,120 MP ve üstü,Var,,USB Type-C,,,4500-5000 mAh,Var,Var,Siyah,Var,,VN,,,,,,,,,
43,https://www.trendyol.com/reeder/p13-blue-max-4-128-gb-2022-siyah-turkiye-garantili-p-299398410,Reeder P13 Blue Max 4 /128 Gb2022 Siyah ( Türkiye Garantili),P13 Blue Max 4 /128 Gb,3.999 TL,Resmi Distribütör Garantili,128 GB,4 GB,6 inç ve üstü,3950,4.5G,5 - 8 MP,15 - 20 MP,1,HD,HD+,5 - 10 MP,LCD,Var,Yok,IPS LCD,3,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,10 - 15 MP,Yok,60 Hz,3.5 mm,20-40 W,Var,3500-4000 mAh,Yok,Yok,Siyah,Yok,1440p (Quad HD),TR,Reeder P13 Blue Max,,,,,Detayını Gör,,Ürün görselinde bulunmuyor,
44,https://www.trendyol.com/samsung/galaxy-a55-256-gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-816445676,Samsung Galaxy A55 256 GBSiyah Cep Telefonu (Samsung Türkiye Garantili),Galaxy A55 256 GB,17.849 TL,Samsung TR Garantili,256 GB,8 GB,"6,6 inç",5000,5G,32 MP,50 MP,1,FHD+,FHD+,20 - 40 MP,AMOLED,Var,Yok,Super AMOLED,3,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,20 - 40 MP,Var,120 Hz,USB Type-C,20-40 W,Var,5000-6000 mAh,Var,Var,Siyah,Yok,1080p (Full HD),TR,Xiomi Redmi Note 12,,,,,,,,
45,https://www.trendyol.com/samsung/galaxy-a16-6-gb-ram-128-gb-siyah-samsung-turkiye-garantili-p-879171109,Samsung Galaxy A16 6 GB RAM128 GB Siyah (Samsung Türkiye Garantili),Galaxy A16 6 GB RAM,8.789 TL,Samsung TR Garantili,128 GB,6 GB,"6,7 inç",5000,4.5G,10 MP,50 MP,1,FHD+,FHD+,10 - 15 MP,AMOLED,Var,Yok,,1,6.5'' - 7'',Android,Var,,,Var,2 Yıl,,40 - 60 MP,Var,120 Hz,,,,5000-6000 mAh,,Var,Siyah,,,TR,,,,,,,,,
46,https://www.trendyol.com/apple/yenilenmis-iphone-11-64gb-b-kalite-beyaz-p-316177451,Apple Yenilenmiş IPHONE 1164GB -B Kalite- Beyaz,Yenilenmiş IPHONE 11,12.939 TL,Yenilenmiş Ürün (12 Ay Garanti),64 GB,4 GB,6 inç ve üstü,,,,,,,,,,,,,,,,,,,,1 Yıl,,10 - 15 MP,,,,,,,,,Beyaz,,,,,B seviye-Çok İyi,,,,,,,
47,https://www.trendyol.com/samsung/galaxy-a06-128gb-altin-cep-telefonu-samsung-turkiye-garantili-p-857140575,Samsung Galaxy A06 128GBAltın Cep Telefonu (Samsung Türkiye Garantili),Galaxy A06 128GB,6.399 TL,Resmi Distribütör Garantili,128 GB,4 GB,6 - 8 inç,4000 - 5000,4G,8 MP,50 MP,1,FHD+,,5 - 10 MP,AMOLED,Var,,AMOLED,3,6.5'' - 7'',Android,Var,Var,Var,Var,2 Yıl,USB Type-C,5 - 10 MP,Var,60 Hz,USB Type-C,10-20 W,Var,4500-5000 mAh,Var,Yok,Altın,,,,,,,,,,,,
