,link,brand,product,price,cosmetic_condition,internal_storage,battery_power_mah,warranty_period,warranty_type,color,main_camera_resolution_range,screen_size,ram_capacity,mobile_connection_speed,camera_resolution,front_camera_count,screen_resolution,screen_technology,front_camera_resolution,front_camera_resolution_range,display_technology,main_camera_flash,front_camera_flash,screen_type,rear_camera_count,screen_size_range,operating_system,dual_sim,wireless_charging,face_recognition,touchscreen,charging_port,nfc,screen_refresh_rate,headphone_jack,charging_speed,expandable_storage,battery_capacity_range,fingerprint_reader,water_dust_resistance,artificial_intelligence,phone_model,video_recording_resolution,country_of_origin,radio,cpu_range,video_call,repairability,ce_compliance,importer_representative,manufacturer_info
387,https://www.trendyol.com/fitgo/tuslu-cep-telefonu-yasli-hizli-arama-p-831846662,FİTGO Tuşlu Cep TelefonuYaşlı Hızlı Arama,Tuşlu Cep Telefonu,1.199 TL,,Yok,,,İthalatçı Garantili,Beyaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,https://www.trendyol.com/apple/yenilenmis-iphone-8-plus-256-gb-kirmizi-cep-telefonu-12-ay-garantili-c-kalite-p-846670096,Apple Yenilenmiş iPhone 8Plus 256 GB Kırmızı Cep Telefonu (12 Ay Garantili) - C Kalite,,10.149 TL,C seviye-İyi,256 GB,,1 Yıl,Üretici Garantili,Çok Renkli,10 - 15 MP,"5 - 5,5 inç",3 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,https://www.trendyol.com/samsung/yenilenmis-samsung-galaxy-a23-128-gb-mavi-p-770680836,Samsung Yenilenmiş SamsungGalaxy A23 128 GB Mavi,,8.800 TL,A seviye-Mükemmel,128 GB,,1 Yıl,,Mavi,40 - 60 MP,6 inç ve üstü,6 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,https://www.trendyol.com/samsung/galaxy-a23-128gb-mavi-yenilenmis-mukemmel-p-770001765,Samsung Galaxy A23 128GB Mavi(Yenilenmiş - Mükemmel),,8.800 TL,A seviye-Mükemmel,128 GB,,1 Yıl,,Siyah,10 - 15 MP,10 inç,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,https://www.trendyol.com/samsung/yenilenmis-a32-128-gb-beyaz-b-kalite-12-ay-garantili-p-704531130,Samsung Yenilenmiş A32 128 GbBeyaz (B) Kalite 12 Ay Garantili,,7.699 TL,B seviye-Çok İyi,128 GB,,1 Yıl,,Beyaz,60 - 80 MP,"6,8 inç",6 GB,,20 MP ve üstü,,,,,,,,,,,,,,,,,,,,,,,4500-5000 mAh,,,,,,,,,,,,,
392,https://www.trendyol.com/apple/iphone-13-512-gb-kirmizi-cep-telefonu-apple-turkiye-garantili-p-153247649,Apple iPhone 13 512 GBKırmızı Cep Telefonu (Apple Türkiye Garantili),iPhone 13 512 GB,47.739 TL,,512 GB,3095,2 Yıl,Apple Türkiye Garantili,Kırmızı,10 - 15 MP,"6,1 inç",4 GB,5G,12 MP + 12 MP,1,FHD+,QLED,12 MP,10 - 15 MP,OLED,,,OLED,2,6'' - 6.5'',iOS,Yok,Var,Var,Var,Lightning,Var,60 Hz,Lightning,10-20 W,,3000-3500 mAh,Var,Var,Var,iPhone 13,1080p (Full HD),,Yok,2.5-3.2 GHz,Var,,,,
393,https://www.trendyol.com/vivo/yenilenmis-vivo-y36-256gb-siyah-cep-telefonu-12-ay-garantili-b-kalite-p-904006766,vivo YENİLENMİŞ VIVO Y36256GB SİYAH CEP TELEFONU (12 AY GARANTİLİ) - B KALİTE,,9.799 TL,B seviye-Çok İyi,256 GB,,1 Yıl,,Siyah,10 - 15 MP,"6,53 inç",4 GB,,10 - 15 MP,,,,,,,,,,,,,,,,,,,,,,,5000-6000 mAh,,,,,,,,,,,,,
394,https://www.trendyol.com/apple/iphone-14-128gb-mavi-yenilenmis-b-kalite-p-840052388,Apple iPhone 14 128GB Mavi -Yenilenmiş - B Kalite,,,B seviye-Çok İyi,128 GB,,1 Yıl,Yenilenmiş Ürün (12 Ay Garanti),Mavi,10 - 15 MP,"6,0 inç",4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,https://www.trendyol.com/apple/iphone-11-pro-64gb-altin-yenilenmis-a-kalite-p-805788016,Apple Iphone 11 Pro 64gbAltın - Yenilenmis - A Kalite,,,A seviye-Mükemmel,64 GB,,1 Yıl,,Altın,10 - 15 MP,"5 - 5,5 inç",4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,https://www.trendyol.com/samsung/yenilenmis-galaxy-s21-fe-green-128-gb-b-kalite-12-ay-garantili-p-710863547,Samsung Yenilenmiş Galaxy S21Fe Green 128 GB B Kalite (12 Ay Garantili),,14.399 TL,B seviye-Çok İyi,128 GB,,1 Yıl,,Yeşil,10 - 15 MP,6 - 8 inç,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,https://www.trendyol.com/samsung/yenilenmis-samsung-galaxy-z-fold-5-512gb-b-kalite-siyah-p-875693647,Samsung Yenilenmiş SAMSUNGGALAXY Z FOLD 5 512GB -B Kalite- Siyah,Yenilenmiş SAMSUNG,47.159 TL,B seviye-Çok İyi,512 GB,,1 Yıl,Yenilenmiş Ürün (12 Ay Garanti),Siyah,40 - 60 MP,"6,2 inç",12 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,https://www.trendyol.com/oppo/yenilenmis-oppo-reno-7-128-gb-12-ay-delta-servis-garantili-b-kalite-p-855226394,Oppo Yenilenmiş Oppo Reno 7128 GB (12 Ay Delta Servis Garantili) - B Kalite,,12.999 TL,B seviye-Çok İyi,128 GB,,1 Yıl,Delta Servis Garantili,Turuncu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,https://www.trendyol.com/xiaomi/yenilenmis-xiaomi-12t-pro-256gb-siyah-cep-telefonu-12-ay-garantili-b-kalite-p-895619263,Xiaomi YENİLENMİŞ XIAOMI 12TPRO 256GB SİYAH CEP TELEFONU (12 AY GARANTİLİ) - B KALİTE,,26.699 TL,B seviye-Çok İyi,256 GB,,1 Yıl,İthalatçı Garantili,Siyah,,"6,53 inç",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,https://www.trendyol.com/xiaomi/yenilenmis-xiaomi-12t-pro-256gb-gumus-cep-telefonu-12-ay-garantili-b-kalite-p-895619116,Xiaomi YENİLENMİŞ XIAOMI 12TPRO 256GB GÜMÜŞ CEP TELEFONU (12 AY GARANTİLİ) - B KALİTE,,26.699 TL,B seviye-Çok İyi,256 GB,,1 Yıl,İthalatçı Garantili,Gri,,"6,53 inç",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
